Degree	Network
20	Sanak_int
5	Sanak_int
25	Sanak_int
39	Sanak_int
11	Sanak_int
46	Sanak_int
27	Sanak_int
59	Sanak_int
10	Sanak_int
16	Sanak_int
3	Sanak_int
8	Sanak_int
8	Sanak_int
8	Sanak_int
16	Sanak_int
18	Sanak_int
8	Sanak_int
24	Sanak_int
10	Sanak_int
8	Sanak_int
10	Sanak_int
11	Sanak_int
12	Sanak_int
10	Sanak_int
18	Sanak_int
28	Sanak_int
70	Sanak_int
36	Sanak_int
55	Sanak_int
18	Sanak_int
14	Sanak_int
17	Sanak_int
10	Sanak_int
58	Sanak_int
11	Sanak_int
6	Sanak_int
29	Sanak_int
10	Sanak_int
20	Sanak_int
5	Sanak_int
2	Sanak_int
9	Sanak_int
43	Sanak_int
23	Sanak_int
7	Sanak_int
9	Sanak_int
14	Sanak_int
24	Sanak_int
11	Sanak_int
20	Sanak_int
25	Sanak_int
5	Sanak_int
26	Sanak_int
6	Sanak_int
11	Sanak_int
5	Sanak_int
17	Sanak_int
20	Sanak_int
26	Sanak_int
7	Sanak_int
44	Sanak_int
8	Sanak_int
8	Sanak_int
10	Sanak_int
4	Sanak_int
8	Sanak_int
8	Sanak_int
5	Sanak_int
5	Sanak_int
11	Sanak_int
39	Sanak_int
25	Sanak_int
57	Sanak_int
4	Sanak_int
8	Sanak_int
1	Sanak_int
21	Sanak_int
23	Sanak_int
8	Sanak_int
21	Sanak_int
9	Sanak_int
18	Sanak_int
3	Sanak_int
2	Sanak_int
1	Sanak_int
2	Sanak_int
2	Sanak_int
1	Sanak_int
7	Sanak_int
5	Sanak_int
2	Sanak_int
5	Sanak_int
15	Sanak_int
38	Sanak_int
19	Sanak_int
17	Sanak_int
48	Sanak_int
10	Sanak_int
7	Sanak_int
18	Sanak_int
7	Sanak_int
6	Sanak_int
33	Sanak_int
11	Sanak_int
14	Sanak_int
11	Sanak_int
5	Sanak_int
2	Sanak_int
14	Sanak_int
25	Sanak_int
8	Sanak_int
11	Sanak_int
7	Sanak_int
20	Sanak_int
12	Sanak_int
19	Sanak_int
16	Sanak_int
4	Sanak_int
38	Sanak_int
86	Sanak_int
7	Sanak_int
17	Sanak_int
33	Sanak_int
18	Sanak_int
24	Sanak_int
39	Sanak_int
1	Sanak_int
24	Sanak_int
2	Sanak_int
8	Sanak_int
59	Sanak_int
17	Sanak_int
10	Sanak_int
6	Sanak_int
5	Sanak_int
6	Sanak_int
9	Sanak_int
93	Sanak_int
22	Sanak_int
7	Sanak_int
1	Sanak_int
17	Sanak_int
8	Sanak_int
12	Sanak_int
10	Sanak_int
6	Sanak_int
13	Sanak_int
10	Sanak_int
7	Sanak_int
13	Sanak_int
12	Sanak_int
9	Sanak_int
13	Sanak_int
27	Sanak_int
19	Sanak_int
19	Sanak_int
20	Sanak_int
14	Sanak_int
17	Sanak_int
26	Sanak_int
15	Sanak_int
13	Sanak_int
12	Sanak_int
3	Sanak_int
16	Sanak_int
17	Sanak_int
14	Sanak_int
39	Sanak_int
17	Sanak_int
36	Sanak_int
5	Sanak_int
24	Sanak_int
12	Sanak_int
17	Sanak_int
4	Sanak_int
31	Sanak_int
12	Sanak_int
7	Sanak_int
10	Sanak_int
26	Sanak_int
30	Sanak_int
53	Sanak_int
24	Sanak_int
15	Sanak_int
17	Sanak_int
12	Sanak_int
15	Sanak_int
12	Sanak_int
12	Sanak_int
7	Sanak_int
11	Sanak_int
19	Sanak_int
9	Sanak_int
10	Sanak_int
13	Sanak_int
12	Sanak_int
3	Sanak_int
5	Sanak_int
8	Sanak_int
9	Sanak_int
31	Sanak_int
7	Sanak_int
2	Sanak_int
25	Sanak_int
1	Sanak_int
13	Sanak_sho
14	Sanak_sho
18	Sanak_sho
12	Sanak_sho
11	Sanak_sho
12	Sanak_sho
9	Sanak_sho
5	Sanak_sho
7	Sanak_sho
9	Sanak_sho
11	Sanak_sho
6	Sanak_sho
7	Sanak_sho
3	Sanak_sho
1	Sanak_sho
9	Sanak_sho
1	Sanak_sho
4	Sanak_sho
5	Sanak_sho
7	Sanak_sho
10	Sanak_sho
26	Sanak_sho
29	Sanak_sho
7	Sanak_sho
31	Sanak_sho
4	Sanak_sho
34	Sanak_sho
17	Sanak_sho
9	Sanak_sho
5	Sanak_sho
5	Sanak_sho
38	Sanak_sho
30	Sanak_sho
57	Sanak_sho
89	Sanak_sho
72	Sanak_sho
29	Sanak_sho
10	Sanak_sho
16	Sanak_sho
23	Sanak_sho
19	Sanak_sho
7	Sanak_sho
23	Sanak_sho
80	Sanak_sho
5	Sanak_sho
7	Sanak_sho
10	Sanak_sho
7	Sanak_sho
5	Sanak_sho
53	Sanak_sho
75	Sanak_sho
16	Sanak_sho
21	Sanak_sho
18	Sanak_sho
42	Sanak_sho
11	Sanak_sho
39	Sanak_sho
43	Sanak_sho
39	Sanak_sho
44	Sanak_sho
14	Sanak_sho
14	Sanak_sho
21	Sanak_sho
41	Sanak_sho
49	Sanak_sho
85	Sanak_sho
50	Sanak_sho
102	Sanak_sho
32	Sanak_sho
17	Sanak_sho
72	Sanak_sho
15	Sanak_sho
27	Sanak_sho
7	Sanak_sho
42	Sanak_sho
19	Sanak_sho
21	Sanak_sho
16	Sanak_sho
22	Sanak_sho
57	Sanak_sho
24	Sanak_sho
21	Sanak_sho
21	Sanak_sho
10	Sanak_sho
33	Sanak_sho
14	Sanak_sho
165	Sanak_sho
20	Sanak_sho
185	Sanak_sho
40	Sanak_sho
10	Sanak_sho
10	Sanak_sho
17	Sanak_sho
57	Sanak_sho
53	Sanak_sho
