Prey,Predator
Polychaeta,Gymnodraco acuticeps
Zooplankton,Gymnodraco acuticeps
Clio pyramidata,Gymnoscopelus braueri
Coelenterata,Gymnoscopelus braueri
Copepoda,Gymnoscopelus braueri
Cyllopus lucasii,Gymnoscopelus braueri
Euchaeta antarctica,Gymnoscopelus braueri
Eukrohnia hamata,Gymnoscopelus braueri
Euphausia superba,Gymnoscopelus braueri
Limacina helicina,Gymnoscopelus braueri
Metridia gerlachei,Gymnoscopelus braueri
Pelagobia longicirrata,Gymnoscopelus braueri
Sagitta marri,Gymnoscopelus braueri
Salpa thompsoni,Gymnoscopelus braueri
Zooplankton,Gymnoscopelus braueri
Amphipoda,Gymnoscopelus nicholsi
Calanus propinquus,Gymnoscopelus nicholsi
Chaetognatha,Gymnoscopelus nicholsi
Copepoda,Gymnoscopelus nicholsi
Euchaeta antarctica,Gymnoscopelus nicholsi
Euphausia crystallorophias,Gymnoscopelus nicholsi
Euphausia frigida,Gymnoscopelus nicholsi
Euphausia superba,Gymnoscopelus nicholsi
Euphausiacea,Gymnoscopelus nicholsi
Fish,Gymnoscopelus nicholsi
Metridia gerlachei,Gymnoscopelus nicholsi
Oncaea sp,Gymnoscopelus nicholsi
Ostracoda,Gymnoscopelus nicholsi
Protomyctophum bolini,Gymnoscopelus nicholsi
Rhincalanus gigas,Gymnoscopelus nicholsi
Thysanoessa macrura,Gymnoscopelus nicholsi
Clio pyramidata,Gymnoscopelus opisthopterus
Coelenterata,Gymnoscopelus opisthopterus
Copepoda,Gymnoscopelus opisthopterus
Cyllopus lucasii,Gymnoscopelus opisthopterus
Eukrohnia hamata,Gymnoscopelus opisthopterus
Euphausia superba,Gymnoscopelus opisthopterus
Limacina helicina,Gymnoscopelus opisthopterus
Metridia gerlachei,Gymnoscopelus opisthopterus
Oithona sp,Gymnoscopelus opisthopterus
Pelagobia longicirrata,Gymnoscopelus opisthopterus
Sagitta marri,Gymnoscopelus opisthopterus
Salpa thompsoni,Gymnoscopelus opisthopterus
Zooplankton,Gymnoscopelus opisthopterus
Bacteria,Haliclona dancoi
Detritus,Haliclona dancoi
Phytoplankton,Haliclona dancoi
Bacteria,Haliclona tenella
Detritus,Haliclona tenella
Phytoplankton,Haliclona tenella
Amphipoda,Halobaena caerulea
Crustacea,Halobaena caerulea
Cyllopus lucasii,Halobaena caerulea
Detritus,Halobaena caerulea
Electrona antarctica,Halobaena caerulea
Euphausia frigida,Halobaena caerulea
Euphausia superba,Halobaena caerulea
Eurythenes gryllus,Halobaena caerulea
Fish,Halobaena caerulea
Gymnoscopelus braueri,Halobaena caerulea
Gymnoscopelus opisthopterus,Halobaena caerulea
Notocrangon antarcticus,Halobaena caerulea
Notolepis coatsi,Halobaena caerulea
Protomyctophum bolini,Halobaena caerulea
Pteropoda,Halobaena caerulea
Salpa thompsoni,Halobaena caerulea
Thysanoessa macrura,Halobaena caerulea
Vibilia antarctica,Halobaena caerulea
Vibilia stebbingi,Halobaena caerulea
Detritus,Hamingia sp
Detritus,Haplocheira plumosa
Phytoplankton,Haplocheira plumosa
Amphipoda,Harmothoe crosetensis
Crustacea,Harmothoe crosetensis
Detritus,Harmothoe crosetensis
Holothuria sp,Harmothoe crosetensis
Isopoda,Harmothoe crosetensis
Ophiuroidea,Harmothoe crosetensis
Polychaeta,Harmothoe crosetensis
Amphipoda,Harmothoe spinosa
Bryozoa,Harmothoe spinosa
Crustacea,Harmothoe spinosa
Detritus,Harmothoe spinosa
Gastropoda,Harmothoe spinosa
Holothuria sp,Harmothoe spinosa
Hydrozoa,Harmothoe spinosa
Isopoda,Harmothoe spinosa
Ophiuroidea,Harmothoe spinosa
Pantopoda,Harmothoe spinosa
Polychaeta,Harmothoe spinosa
Amphipoda,Harpagifer antarcticus
Bivalvia,Harpagifer antarcticus
Chiton,Harpagifer antarcticus
Crustacea,Harpagifer antarcticus
Detritus,Harpagifer antarcticus
Djerboa furcipes,Harpagifer antarcticus
Epimeria robusta,Harpagifer antarcticus
Euphausia superba,Harpagifer antarcticus
Gastropoda,Harpagifer antarcticus
Isopoda,Harpagifer antarcticus
Natatolana meridionalis,Harpagifer antarcticus
Notocrangon antarcticus,Harpagifer antarcticus
Oradarea edentata,Harpagifer antarcticus
Polychaeta,Harpagifer antarcticus
Sediment,Harpagifer antarcticus
Phytoplankton,Harpovoluta charcoti
Bacillariophyta,Heterophoxus videns
Copepoda,Heterophoxus videns
Crustacea,Heterophoxus videns
Eucranta mollis,Heterophoxus videns
Eunoe spica,Heterophoxus videns
Foraminifera,Heterophoxus videns
Laetmonice producta,Heterophoxus videns
Nematoda,Heterophoxus videns
Polychaeta,Heterophoxus videns
Porifera,Heterophoxus videns
Tanaidacea,Heterophoxus videns
Detritus,Holothuria sp
Bacteria,Homaxinella balfourensis
Detritus,Homaxinella balfourensis
Phytoplankton,Homaxinella balfourensis
Zooplankton,Hydrozoa
Amphipoda,Hydrurga leptonyx 
Euphausiacea,Hydrurga leptonyx 
Fish,Hydrurga leptonyx 
Kondakovia longimana,Hydrurga leptonyx 
Psychroteuthis glacialis,Hydrurga leptonyx 
Squid,Hydrurga leptonyx 
Coelenterata,Hyperia macrocephala
Limacina helicina,Hyperia macrocephala
Pteropoda,Hyperia macrocephala
Salpa thompsoni,Hyperia macrocephala
Scyphozoa,Hyperia macrocephala
Bacillariophyta,Hyperiella dilatata
Coelenterata,Hyperiella dilatata
Copepoda,Hyperiella dilatata
Oithona sp,Hyperiella dilatata
Oncaea sp,Hyperiella dilatata
Tintinnidae,Hyperiella dilatata
Zooplankton,Hyperiella dilatata
Bacillariophyta,Ihlea racovitzai
Phytoplankton,Ihlea racovitzai
Bacteria,Iophon radiatus
Detritus,Iophon radiatus
Phytoplankton,Iophon radiatus
Holothuria sp,Iphimediella cyclogena
Polychaeta,Iphimediella cyclogena
Bacteria,Isodyctia setifera
Detritus,Isodyctia setifera
Phytoplankton,Isodyctia setifera
Detritus,Isopoda
Bacillariophyta,Isoschizoporella tricuspis
Detritus,Isoschizoporella tricuspis
Nanoplankton,Isoschizoporella tricuspis
Bacillariophyta,Isotealia antarctica
Copepoda,Isotealia antarctica
Ctenophora,Isotealia antarctica
Eunoe spica,Isotealia antarctica
Polychaeta,Isotealia antarctica
Bacteria,Kirkpatrickia variolosa
Detritus,Kirkpatrickia variolosa
Phytoplankton,Kirkpatrickia variolosa
Euphausia superba,Kondakovia longimana
Amphipoda,Labidiaster annulatus
Asteroidea,Labidiaster annulatus
Bivalvia,Labidiaster annulatus
Crinoidea,Labidiaster annulatus
Echinoidea,Labidiaster annulatus
Gastropoda,Labidiaster annulatus
Isopoda,Labidiaster annulatus
Ophiuroidea,Labidiaster annulatus
Polychaeta,Labidiaster annulatus
Amphipoda,Laetmonice producta
Crustacea,Laetmonice producta
Detritus,Laetmonice producta
Ophiuroidea,Laetmonice producta
Polychaeta,Laetmonice producta
Champsocephalus gunnari ,Lagenorhynchus cruciger
Dissostichus mawsoni,Lagenorhynchus cruciger
Euphausiacea,Lagenorhynchus cruciger
Fish,Lagenorhynchus cruciger
Myctophidae,Lagenorhynchus cruciger
Squid,Lagenorhynchus cruciger
Bacillariophyta,Laternula elliptica
Detritus,Laternula elliptica
Bacillariophyta,Lenticulina antarctica
Detritus,Lenticulina antarctica
Sediment,Lenticulina antarctica
Waldeckia obesa,Lepidonotothen nudifrons
Aethotaxis mitopteryx,Leptonychotes weddelli
Dissostichus mawsoni,Leptonychotes weddelli
Euphausia crystallorophias,Leptonychotes weddelli
Fish,Leptonychotes weddelli
Octopoda,Leptonychotes weddelli
Pleuragramma antarcticum,Leptonychotes weddelli
Squid,Leptonychotes weddelli
Trematomus hansoni,Leptonychotes weddelli
Amphipoda,Liljeborgia georgiana
Cnidaria,Liljeborgia georgiana
Copepoda,Liljeborgia georgiana
Crustacea,Liljeborgia georgiana
Eucranta mollis,Liljeborgia georgiana
Eunoe spica,Liljeborgia georgiana
Euphausiacea,Liljeborgia georgiana
Polychaeta,Liljeborgia georgiana
Porifera,Liljeborgia georgiana
Zooplankton,Limacina helicina
Zooplankton,Limacina helicina antarctica
Bacillariophyta,Limopsis lillei
Detritus,Limopsis lillei
Bacillariophyta,Limopsis marionensis
Detritus,Limopsis marionensis
Actinaria,Lineus longifissus
Adamussium colbecki,Lineus longifissus
Asteroidea,Lineus longifissus
Bacillariophyta,Lineus longifissus
Bivalvia,Lineus longifissus
Crustacea,Lineus longifissus
Ctenophora,Lineus longifissus
Fish,Lineus longifissus
Homaxinella balfourensis,Lineus longifissus
Polychaeta,Lineus longifissus
Porifera,Lineus longifissus
Detritus,Liothyrella uva
Detritus,Liothyrella uva antarctica
Bacillariophyta,Lissarca notorcadensis
Detritus,Lissarca notorcadensis
Crustacea,Lobodon carcinophagus 
Euphausia superba,Lobodon carcinophagus 
Euphausiacea,Lobodon carcinophagus 
Fish,Lobodon carcinophagus 
Mysidacea,Lobodon carcinophagus 
Nematoda,Lobodon carcinophagus 
Squid,Lobodon carcinophagus 
Adamussium colbecki,Lophaster gaini
Bivalvia,Lophaster gaini
Yoldia eightsi,Lophaster gaini
Detritus,Luidiaster gerlachei
Ophiuroidea,Luidiaster gerlachei
Phytoplankton,Lyrocteis flavopallidus
Bivalvia,Lysasterias perrieri
Detritus,Lysasterias perrieri
Ophiuroidea,Lysasterias perrieri
Ostracoda,Lysasterias perrieri
Crustacea,Macronectes giganteus
Detritus,Macronectes giganteus
Galiteuthis glacialis,Macronectes giganteus
Gonatus antarcticus,Macronectes giganteus
Kondakovia longimana,Macronectes giganteus
Nototheniidae,Macronectes giganteus
Crustacea,Macronectes halli
Detritus,Macronectes halli
Galiteuthis glacialis,Macronectes halli
Gonatus antarcticus,Macronectes halli
Kondakovia longimana,Macronectes halli
Martialia hyadesi,Macronectes halli
Nototheniidae,Macronectes halli
Psychroteuthis glacialis,Macronectes halli
Squid,Macronectes halli
Vampyroteuthis,Macronectes halli
Asteroidea,Macroptychaster accrescens
Bivalvia,Macroptychaster accrescens
Echinoidea,Macroptychaster accrescens
Gastropoda,Macroptychaster accrescens
Odontaster validus,Macroptychaster accrescens
Ophiuroidea,Macroptychaster accrescens
Sterechinus neumayeri,Macroptychaster accrescens
Amphipoda,Macrourus holotrachis
Crustacea,Macrourus holotrachis
Fish,Macrourus holotrachis
Octopoda,Macrourus holotrachis
Squid,Macrourus holotrachis
Amphipoda,Macrourus whitsoni
Crustacea,Macrourus whitsoni
Fish,Macrourus whitsoni
Octopoda,Macrourus whitsoni
Polychaeta,Macrourus whitsoni
Squid,Macrourus whitsoni
Detritus,Magellania fragilis
Detritus,Magellania joubini
Cnemidocarpa verrucosa,Marseniopsis mollis
Yoldia eightsi,Marseniopsis mollis
Chionodraco hamatus,Martialia hyadesi
Euphausia superba,Martialia hyadesi
Gonatus antarcticus,Martialia hyadesi
Gymnoscopelus nicholsi,Martialia hyadesi
Protomyctophum bolini,Martialia hyadesi
Psychroteuthis glacialis,Martialia hyadesi
Anthozoa,Maxilliphimedia longipes
Cnidaria,Maxilliphimedia longipes
Hydrozoa,Maxilliphimedia longipes
Urticinopsis antarctica,Maxilliphimedia longipes
Detritus,Maxmuelleria faex
Euphausiacea,Megaptera novaeangliae
Bacillariophyta,Melicerita obliqua
Detritus,Melicerita obliqua
Nanoplankton,Melicerita obliqua
Cnidaria,Melphidippa antarctica
Crustacea,Melphidippa antarctica
Euchaeta antarctica,Melphidippa antarctica
Euphausiacea,Melphidippa antarctica
Holothuria sp,Melphidippa antarctica
Mysidacea,Melphidippa antarctica
Porifera,Melphidippa antarctica
Clione antarctica,Mertensiidae
Copepoda,Mertensiidae
Euchaeta antarctica,Mertensiidae
Mysidacea,Mertensiidae
Pteropoda,Mertensiidae
Zooplankton,Mertensiidae
Eukrohnia hamata,Mesonychoteuthis hamiltoni
Squid,Mesonychoteuthis hamiltoni
Detritus,Mesothuria lactea
Bacillariophyta,Metaconchoecia isocheira
Detritus,Metaconchoecia isocheira
Phytoplankton,Metaconchoecia isocheira
Bacillariophyta,Metridia gerlachei
Copepoda,Metridia gerlachei
Oithona sp,Metridia gerlachei
Oncaea sp,Metridia gerlachei
SilicioZooplankton,Metridia gerlachei
Tintinnidae,Metridia gerlachei
Zooplankton,Metridia gerlachei
Alluroteuthis antarcticus,Mirounga leonina 
Chionodraco sp,Mirounga leonina 
Chionodraco hamatus,Mirounga leonina 
Dissostichus mawsoni,Mirounga leonina 
Electrona antarctica,Mirounga leonina 
Fish,Mirounga leonina 
Galiteuthis glacialis,Mirounga leonina 
Gonatus antarcticus,Mirounga leonina 
Gymnoscopelus nicholsi,Mirounga leonina 
Kondakovia longimana,Mirounga leonina 
Martialia hyadesi,Mirounga leonina 
Mesonychoteuthis hamiltoni,Mirounga leonina 
Moroteuthis ingens,Mirounga leonina 
Myctophidae,Mirounga leonina 
Nototheniidae,Mirounga leonina 
Pleuragramma antarcticum,Mirounga leonina 
Psychroteuthis glacialis,Mirounga leonina 
Squid,Mirounga leonina 
Trematomus eulepidotus,Mirounga leonina 
Trematomus hansoni,Mirounga leonina 
Trematomus pennellii,Mirounga leonina 
Trematomus scotti,Mirounga leonina 
Bacillariophyta,Molgula pedunculata
Bacteria,Molgula pedunculata
Detritus,Molgula pedunculata
Nanoplankton,Molgula pedunculata
Detritus,Molpadia musculus
Amphipoda,Monocaulus parvula
Bacillariophyta,Monocaulus parvula
Copepoda,Monocaulus parvula
Detritus,Monocaulus parvula
Hydrozoa,Monocaulus parvula
Zooplankton,Monocaulus parvula
Detritus,Monoculodes scabriculosus
Copepoda,Moroteuthis ingens
Cyllopus lucasii,Moroteuthis ingens
Electrona antarctica,Moroteuthis ingens
Epimeria robusta,Moroteuthis ingens
Myctophidae,Moroteuthis ingens
Squid,Moroteuthis ingens
Bacteria,Mycale acerata
Detritus,Mycale acerata
Phytoplankton,Mycale acerata
Copepoda,Myctophidae
Detritus,Myodocopia
Sediment,Myodocopia
Zooplankton,Myodocopia
Bacillariophyta,Mysida
Detritus,Mysida
Zooplankton,Mysida
Bacillariophyta,Mysidacea
Detritus,Natatolana meridionalis
Detritus,Natatolana obtusata
Detritus,Natatolana oculata
Bacillariophyta,Nematocarcinus lanceopes
Euchaeta antarctica,Nematocarcinus lanceopes
Phytoplankton,Nematocarcinus lanceopes
Tintinnidae,Nematocarcinus lanceopes
Zooplankton,Nematocarcinus lanceopes
Detritus,Nematoda
Bacillariophyta,Nematroflustra flagellata
Detritus,Nematroflustra flagellata
Nanoplankton,Nematroflustra flagellata
Decapoda,Nemertini
Adamussium colbecki,Neobuccinum eatoni
Bivalvia,Neobuccinum eatoni
Crustacea,Neobuccinum eatoni
Fish,Neobuccinum eatoni
Laternula elliptica,Neobuccinum eatoni
Bacillariophyta,Neogloboquadriana pachyderma
Detritus,Neogloboquadriana pachyderma
Sediment,Neogloboquadriana pachyderma
Anthozoa,Notaeolidia gigas
Clavularia frankliniana,Notaeolidia gigas
Hydrozoa,Notaeolidia gigas
Tubularia,Notaeolidia gigas
Urticinopsis antarctica,Notaeolidia gigas
Adamussium colbecki,Notasterias armata
Bivalvia,Notasterias armata
Yoldia eightsi,Notasterias armata
Bryozoa,Notocidaris mortenseni
Detritus,Notocidaris mortenseni
Hydrozoa,Notocidaris mortenseni
Porifera,Notocidaris mortenseni
Zooplankton,Notocidaris mortenseni
Bacillariophyta,Notocrangon antarcticus
Bivalvia,Notocrangon antarcticus
Foraminifera,Notocrangon antarcticus
Gastropoda,Notocrangon antarcticus
Holothuria sp,Notocrangon antarcticus
Mysidacea,Notocrangon antarcticus
Polychaeta,Notocrangon antarcticus
Porifera,Notocrangon antarcticus
Yoldia eightsi,Notocrangon antarcticus
Coelenterata,Notolepis coatsi
Copepoda,Notolepis coatsi
Euchaeta antarctica,Notolepis coatsi
Eukrohnia hamata,Notolepis coatsi
Euphausia superba,Notolepis coatsi
Limacina helicina,Notolepis coatsi
Metridia gerlachei,Notolepis coatsi
Notocrangon antarcticus,Notolepis coatsi
Oithona sp,Notolepis coatsi
Oncaea sp,Notolepis coatsi
Pelagobia longicirrata,Notolepis coatsi
Sagitta marri,Notolepis coatsi
Salpa thompsoni,Notolepis coatsi
Bacillariophyta,Nototanais antarcticus
Bacteria,Nototanais antarcticus
Detritus,Nototanais antarcticus
Sediment,Nototanais antarcticus
Bacillariophyta,Nototanais dimorphus
Bacteria,Nototanais dimorphus
Detritus,Nototanais dimorphus
Bivalvia,Notothenia coriiceps
Copepoda,Notothenia coriiceps
Cyllopus lucasii,Notothenia coriiceps
Epimeria robusta,Notothenia coriiceps
Euphausiacea,Notothenia coriiceps
Fish,Notothenia coriiceps
Gastropoda,Notothenia coriiceps
Isopoda,Notothenia coriiceps
Octopoda,Notothenia coriiceps
Polychaeta,Notothenia coriiceps
Porifera,Notothenia coriiceps
Salpa thompsoni,Notothenia coriiceps
Waldeckia obesa,Notothenia coriiceps
Zooplankton,Notothenia coriiceps
Amphipoda,Notothenia marmorata
Crustacea,Notothenia marmorata
Ctenophora,Notothenia marmorata
Euphausia superba,Notothenia marmorata
Fish,Notothenia marmorata
Hydrozoa,Notothenia marmorata
Salpa thompsoni,Notothenia marmorata
Zooplankton,Nototheniidae
Bryozoa,Nuttallochiton mirandus
Foraminifera,Nuttallochiton mirandus
Porifera,Nuttallochiton mirandus
Bryozoa,Nymphon gracillimum
Ctenophora,Nymphon gracillimum
Gastropoda,Nymphon gracillimum
Ophiuroidea,Nymphon gracillimum
Polychaeta,Nymphon gracillimum
Porifera,Nymphon gracillimum
Crustacea,Oceanites oceanicus
Cyllopus lucasii,Oceanites oceanicus
Electrona antarctica,Oceanites oceanicus
Euphausia superba,Oceanites oceanicus
Fish,Oceanites oceanicus
Protomyctophum bolini,Oceanites oceanicus
Salpa thompsoni,Oceanites oceanicus
Vibilia antarctica,Oceanites oceanicus
Crustacea,Octopoda
Detritus,Odontaster meridionalis
Porifera,Odontaster meridionalis
Adamussium colbecki,Odontaster validus
Amphipoda,Odontaster validus
Asteroidea,Odontaster validus
Bacillariophyta,Odontaster validus
Bivalvia,Odontaster validus
Bryozoa,Odontaster validus
Detritus,Odontaster validus
Echinoidea,Odontaster validus
Gastropoda,Odontaster validus
Glyptonotus antarcticus,Odontaster validus
Homaxinella balfourensis,Odontaster validus
Hydrozoa,Odontaster validus
Isopoda,Odontaster validus
Laternula elliptica,Odontaster validus
Ophiuroidea,Odontaster validus
Ostracoda,Odontaster validus
Polychaeta,Odontaster validus
Porifera,Odontaster validus
Rossella nuda,Odontaster validus
Rossella racovitzae,Odontaster validus
Scolymastra joubini,Odontaster validus
Sterechinus neumayeri,Odontaster validus
Tetilla leptoderma,Odontaster validus
Yoldia eightsi,Odontaster validus
Amphipoda,Oediceroides calmani
Crustacea,Oediceroides calmani
Phytoplankton,Oediceroides calmani
Amphipoda,Oediceroides emarginatus
Crustacea,Oediceroides emarginatus
Phytoplankton,Oediceroides emarginatus
Phytoplankton,Oithona sp
Alluroteuthis antarcticus,Ommatophoca rossii 
Fish,Ommatophoca rossii 
Galiteuthis glacialis,Ommatophoca rossii 
Kondakovia longimana,Ommatophoca rossii 
Psychroteuthis glacialis,Ommatophoca rossii 
Squid,Ommatophoca rossii 
Phytoplankton,Oncaea curvata
Phytoplankton,Oncaea sp
Bacillariophyta,Ophiacantha antarctica
Copepoda,Ophiacantha antarctica
Foraminifera,Ophiacantha antarctica
Copepoda,Ophiacantha pentacis
Bacillariophyta,Ophiacantha sp
Copepoda,Ophiacantha vivipara
Anthozoa,Ophioceres incipiens
Bacillariophyta,Ophioceres incipiens
Crustacea,Ophioceres incipiens
Detritus,Ophioceres incipiens
Foraminifera,Ophioceres incipiens
Polychaeta,Ophioceres incipiens
Porifera,Ophioceres incipiens
Sediment,Ophioceres incipiens
SilicioZooplankton,Ophioceres incipiens
Urticinopsis antarctica,Ophioceres incipiens
Zooplankton,Ophioceres incipiens
Bacillariophyta,Ophiocten sp
Amphipoda,Ophionotus victoriae
Anthozoa,Ophionotus victoriae
Bacillariophyta,Ophionotus victoriae
Bivalvia,Ophionotus victoriae
Bryozoa,Ophionotus victoriae
Crustacea,Ophionotus victoriae
Detritus,Ophionotus victoriae
Echinoidea,Ophionotus victoriae
Euphausiacea,Ophionotus victoriae
Foraminifera,Ophionotus victoriae
Hydrozoa,Ophionotus victoriae
Mysidacea,Ophionotus victoriae
Nematoda,Ophionotus victoriae
Ophiuroidea,Ophionotus victoriae
Polychaeta,Ophionotus victoriae
Porifera,Ophionotus victoriae
Sediment,Ophionotus victoriae
Urticinopsis antarctica,Ophionotus victoriae
Waldeckia obesa,Ophionotus victoriae
Copepoda,Ophioperla koehleri
Crinoidea,Ophioperla koehleri
Echinoidea,Ophioperla koehleri
Euphausiacea,Ophioperla koehleri
Foraminifera,Ophioperla koehleri
Ophiuroidea,Ophioperla koehleri
Polychaeta,Ophioperla koehleri
Porifera,Ophioperla koehleri
Adamussium colbecki,Ophiosparte gigas
Amphipoda,Ophiosparte gigas
Bacillariophyta,Ophiosparte gigas
Bivalvia,Ophiosparte gigas
Bryozoa,Ophiosparte gigas
Chorismus antarcticus,Ophiosparte gigas
Cnidaria,Ophiosparte gigas
Detritus,Ophiosparte gigas
Eunoe spica,Ophiosparte gigas
Euphausia crystallorophias,Ophiosparte gigas
Euphausia superba,Ophiosparte gigas
Fish,Ophiosparte gigas
Foraminifera,Ophiosparte gigas
Gastropoda,Ophiosparte gigas
Isopoda,Ophiosparte gigas
Laternula elliptica,Ophiosparte gigas
Mysidacea,Ophiosparte gigas
Nematoda,Ophiosparte gigas
Odontaster validus,Ophiosparte gigas
Ophiacantha sp,Ophiosparte gigas
Ophiocten sp,Ophiosparte gigas
Ophionotus victoriae,Ophiosparte gigas
Ophiosparte gigas,Ophiosparte gigas
Ophiuroidea,Ophiosparte gigas
Ophiurolepis gelida,Ophiosparte gigas
Ostracoda,Ophiosparte gigas
Pantopoda,Ophiosparte gigas
Polychaeta,Ophiosparte gigas
Porifera,Ophiosparte gigas
Promachocrinus kerguelensis,Ophiosparte gigas
Sediment,Ophiosparte gigas
Sterechinus neumayeri,Ophiosparte gigas
Yoldia eightsi,Ophiosparte gigas
Bacillariophyta,Ophiuroidea
Amphipoda,Ophiurolepis brevirima
Bacillariophyta,Ophiurolepis brevirima
Bivalvia,Ophiurolepis brevirima
Bryozoa,Ophiurolepis brevirima
Cnidaria,Ophiurolepis brevirima
Crustacea,Ophiurolepis brevirima
Detritus,Ophiurolepis brevirima
Eunoe spica,Ophiurolepis brevirima
Euphausiacea,Ophiurolepis brevirima
Foraminifera,Ophiurolepis brevirima
Ostracoda,Ophiurolepis brevirima
Polychaeta,Ophiurolepis brevirima
Porifera,Ophiurolepis brevirima
Sediment,Ophiurolepis brevirima
SilicioZooplankton,Ophiurolepis brevirima
Zooplankton,Ophiurolepis brevirima
Amphipoda,Ophiurolepis gelida
Bacillariophyta,Ophiurolepis gelida
Bivalvia,Ophiurolepis gelida
Bryozoa,Ophiurolepis gelida
Crustacea,Ophiurolepis gelida
Detritus,Ophiurolepis gelida
Euphausiacea,Ophiurolepis gelida
Foraminifera,Ophiurolepis gelida
Nematoda,Ophiurolepis gelida
Polychaeta,Ophiurolepis gelida
Porifera,Ophiurolepis gelida
Sediment,Ophiurolepis gelida
SilicioZooplankton,Ophiurolepis gelida
Zooplankton,Ophiurolepis gelida
Phytoplankton,Oradarea edentata
Arctocephalus gazella ,Orcinus orca
Balaenoptera acutorostrata,Orcinus orca
Dissostichus mawsoni,Orcinus orca
Fish,Orcinus orca
Halobaena caerulea,Orcinus orca
Hydrurga leptonyx ,Orcinus orca
Leptonychotes weddelli,Orcinus orca
Lobodon carcinophagus ,Orcinus orca
Mirounga leonina ,Orcinus orca
Myctophidae,Orcinus orca
Ommatophoca rossii ,Orcinus orca
Pygoscelis adeliae,Orcinus orca
Squid,Orcinus orca
Thalassoica antarctica,Orcinus orca
Detritus,Ostracoda
Bacillariophyta,Oswaldella antarctica
Amphipoda,Pachyptila desolata
Calanoides acutus,Pachyptila desolata
Calanus propinquus,Pachyptila desolata
Copepoda,Pachyptila desolata
Crustacea,Pachyptila desolata
Cyllopus lucasii,Pachyptila desolata
Electrona antarctica,Pachyptila desolata
Euchaeta antarctica,Pachyptila desolata
Euphausia frigida,Pachyptila desolata
Euphausia superba,Pachyptila desolata
Fish,Pachyptila desolata
Gymnoscopelus braueri,Pachyptila desolata
Gymnoscopelus nicholsi,Pachyptila desolata
Metridia gerlachei,Pachyptila desolata
Notocrangon antarcticus,Pachyptila desolata
Notolepis coatsi,Pachyptila desolata
Octopoda,Pachyptila desolata
Primno macropa,Pachyptila desolata
Protomyctophum bolini,Pachyptila desolata
Rhincalanus gigas,Pachyptila desolata
Salpa thompsoni,Pachyptila desolata
Thysanoessa macrura,Pachyptila desolata
Vibilia antarctica,Pachyptila desolata
Crustacea,Pagetopsis maculatus
Euphausia crystallorophias,Pagetopsis maculatus
Euphausia superba,Pagetopsis maculatus
Euphausiacea,Pagetopsis maculatus
Fish,Pagetopsis maculatus
Crustacea,Pagodroma nivea
Cyllopus lucasii,Pagodroma nivea
Detritus,Pagodroma nivea
Electrona antarctica,Pagodroma nivea
Euphausia superba,Pagodroma nivea
Eurythenes gryllus,Pagodroma nivea
Fish,Pagodroma nivea
Galiteuthis glacialis,Pagodroma nivea
Gymnoscopelus braueri,Pagodroma nivea
Notocrangon antarcticus,Pagodroma nivea
Notolepis coatsi,Pagodroma nivea
Protomyctophum bolini,Pagodroma nivea
Psychroteuthis glacialis,Pagodroma nivea
Vibilia antarctica,Pagodroma nivea
Vibilia stebbingi,Pagodroma nivea
Detritus,Pantopoda
Amphipoda,Paraceradocus gibber
Bacillariophyta,Paraceradocus gibber
Detritus,Paraceradocus gibber
Ophiuroidea,Paramoera walkeri
Actinaria,Parborlasia corrugatus
Adamussium colbecki,Parborlasia corrugatus
Asteroidea,Parborlasia corrugatus
Bacillariophyta,Parborlasia corrugatus
Bivalvia,Parborlasia corrugatus
Crustacea,Parborlasia corrugatus
Ctenophora,Parborlasia corrugatus
Fish,Parborlasia corrugatus
Homaxinella balfourensis,Parborlasia corrugatus
Polychaeta,Parborlasia corrugatus
Isopoda,Pareledone antarctica
Crustacea,Pareledone charcoti
Eukrohnia hamata,Pareledone charcoti
Fish,Pareledone charcoti
Glyptonotus antarcticus,Pareledone charcoti
Polychaeta,Pareledone charcoti
Siphonophora,Pareledone charcoti
Sterechinus neumayeri,Pareledone charcoti
Yoldia eightsi,Pareledone charcoti
Bacillariophyta,Parmaphorella mawsoni
Detritus,Parmaphorella mawsoni
Porifera,Parmaphorella mawsoni
Sediment,Parmaphorella mawsoni
Detritus,Parschisturella ceruviata 
Bacillariophyta,Pelagobia longicirrata
Ostracoda,Pelagobia longicirrata
Bacillariophyta,Pemmatoporella sp
Detritus,Pemmatoporella sp
Nanoplankton,Pemmatoporella sp
Bryozoa,Pentanymphon antarcticum
Ctenophora,Pentanymphon antarcticum
Gastropoda,Pentanymphon antarcticum
Ophiuroidea,Pentanymphon antarcticum
Polychaeta,Pentanymphon antarcticum
Porifera,Pentanymphon antarcticum
Bacillariophyta,Peraeospinosus pushkini
Detritus,Peraeospinosus pushkini
Porifera,Peraeospinosus pushkini
Sediment,Peraeospinosus pushkini
Detritus,Perknaster densus
Detritus,Perknaster fuscus
Detritus,Perknaster fuscus antarcticus
Mycale acerata,Perknaster fuscus antarcticus
Porifera,Perknaster fuscus antarcticus
Scolymastra joubini,Perknaster fuscus antarcticus
Tetilla leptoderma,Perknaster fuscus antarcticus
Detritus,Phascolion strombi
Detritus,Philobrya sublaevis
Champsocephalus gunnari ,Physeter macrocephalus
Crustacea,Physeter macrocephalus
Dissostichus mawsoni,Physeter macrocephalus
